Entity,Code,Year,Hazelnuts | 00000225 || Production | 005510 || tonnes
Chile,CHL,2003,183.73
Chile,CHL,2004,200.42
Chile,CHL,2005,139.13
Chile,CHL,2006,400
Chile,CHL,2007,1000
Chile,CHL,2008,2000
Chile,CHL,2009,3000
Chile,CHL,2010,2400
Chile,CHL,2011,5200
Chile,CHL,2012,6300
Chile,CHL,2013,9500
Chile,CHL,2014,11500
Chile,CHL,2015,8750
Chile,CHL,2016,14250
Chile,CHL,2017,16800
Chile,CHL,2018,20330
Chile,CHL,2019,40000
Chile,CHL,2020,37000
Chile,CHL,2021,36772.81
Chile,CHL,2022,62412.04
Chile,CHL,2023,65646.73
China,CHN,1961,2000
China,CHN,1962,1800
China,CHN,1963,2500
China,CHN,1964,2650
China,CHN,1965,3000
China,CHN,1966,3500
China,CHN,1967,3800
China,CHN,1968,4000
China,CHN,1969,3500
China,CHN,1970,3800
China,CHN,1971,4000
China,CHN,1972,3800
China,CHN,1973,4000
China,CHN,1974,4000
China,CHN,1975,4200
China,CHN,1976,3800
China,CHN,1977,4000
China,CHN,1978,4500
China,CHN,1979,4800
China,CHN,1980,5000
China,CHN,1981,5200
China,CHN,1982,5800
China,CHN,1983,6000
China,CHN,1984,6500
China,CHN,1985,7000
China,CHN,1986,6500
China,CHN,1987,7200
China,CHN,1988,7400
China,CHN,1989,7600
China,CHN,1990,8000
China,CHN,1991,8300
China,CHN,1992,8500
China,CHN,1993,9000
China,CHN,1994,9222.71
China,CHN,1995,9563.88
China,CHN,1996,10000
China,CHN,1997,12000
China,CHN,1998,10500
China,CHN,1999,12000
China,CHN,2000,9000
China,CHN,2001,11000
China,CHN,2002,12000
China,CHN,2003,13000
China,CHN,2004,14000
China,CHN,2005,13500
China,CHN,2006,14000
China,CHN,2007,15000
China,CHN,2008,16000
China,CHN,2009,18000
China,CHN,2010,19500
China,CHN,2011,22000
China,CHN,2012,23000
China,CHN,2013,23000
China,CHN,2014,23620.91
China,CHN,2015,25100.5
China,CHN,2016,23907.14
China,CHN,2017,24519.38
China,CHN,2018,25169.92
China,CHN,2019,24532.15
China,CHN,2020,24740.48
China,CHN,2021,24814.18
China,CHN,2022,24695.6
China,CHN,2023,24750.09
Croatia,HRV,1992,50
Croatia,HRV,1993,161.94
Croatia,HRV,1994,80
Croatia,HRV,1995,85.85
Croatia,HRV,1996,90.55
Croatia,HRV,1997,150
Croatia,HRV,1998,250
Croatia,HRV,1999,600
Croatia,HRV,2000,400
Croatia,HRV,2001,600
Croatia,HRV,2002,400
Croatia,HRV,2003,500
Croatia,HRV,2004,176
Croatia,HRV,2005,366
Croatia,HRV,2006,702
Croatia,HRV,2007,957
Croatia,HRV,2008,911
Croatia,HRV,2009,1016
Croatia,HRV,2010,2964
Croatia,HRV,2011,1548
Croatia,HRV,2012,344
Croatia,HRV,2013,1561
Croatia,HRV,2014,908
Croatia,HRV,2015,1505
Croatia,HRV,2016,1259
Croatia,HRV,2017,1534
Croatia,HRV,2018,1740
Croatia,HRV,2019,1960
Croatia,HRV,2020,3040
Croatia,HRV,2021,1880
Croatia,HRV,2022,2580
Croatia,HRV,2023,2450
Cyprus,CYP,1961,102
Cyprus,CYP,1962,114
Cyprus,CYP,1963,127
Cyprus,CYP,1964,102
Cyprus,CYP,1965,105
Cyprus,CYP,1966,122
Cyprus,CYP,1967,112
Cyprus,CYP,1968,102
Cyprus,CYP,1969,102
Cyprus,CYP,1970,508
Cyprus,CYP,1971,305
Cyprus,CYP,1972,305
Cyprus,CYP,1973,279
Cyprus,CYP,1974,254
Cyprus,CYP,1975,356
Cyprus,CYP,1976,376
Cyprus,CYP,1977,356
Cyprus,CYP,1978,305
Cyprus,CYP,1979,254
Cyprus,CYP,1980,305
Cyprus,CYP,1981,315
Cyprus,CYP,1982,356
Cyprus,CYP,1983,320
Cyprus,CYP,1984,280
Cyprus,CYP,1985,200
Cyprus,CYP,1986,120
Cyprus,CYP,1987,170
Cyprus,CYP,1988,100
Cyprus,CYP,1989,65
Cyprus,CYP,1990,50
Cyprus,CYP,1991,95
Cyprus,CYP,1992,90
Cyprus,CYP,1993,70
Cyprus,CYP,1994,110
Cyprus,CYP,1995,50
Cyprus,CYP,1996,70
Cyprus,CYP,1997,50
Cyprus,CYP,1998,70
Cyprus,CYP,1999,50
Cyprus,CYP,2000,35
Cyprus,CYP,2001,50
Cyprus,CYP,2002,30
Cyprus,CYP,2003,30
Cyprus,CYP,2004,40
Cyprus,CYP,2005,41
Cyprus,CYP,2006,32
Cyprus,CYP,2007,40
Cyprus,CYP,2008,38
Cyprus,CYP,2009,44
Cyprus,CYP,2010,43
Cyprus,CYP,2011,41
Cyprus,CYP,2012,42
Cyprus,CYP,2013,42
Cyprus,CYP,2014,41
Cyprus,CYP,2015,41
Cyprus,CYP,2016,23
Cyprus,CYP,2017,23
Cyprus,CYP,2018,20
Cyprus,CYP,2019,20
Cyprus,CYP,2020,30
Cyprus,CYP,2021,20
Cyprus,CYP,2022,20
Cyprus,CYP,2023,20
Denmark,DNK,2004,7
Denmark,DNK,2005,7
Denmark,DNK,2006,7
Denmark,DNK,2007,5
Denmark,DNK,2008,4.29
Denmark,DNK,2009,5.59
Denmark,DNK,2010,5.98
Denmark,DNK,2011,4.56
Denmark,DNK,2012,4.64
Denmark,DNK,2013,4.43
Denmark,DNK,2014,4.24
Denmark,DNK,2015,4.35
Denmark,DNK,2016,4.41
Denmark,DNK,2017,4.33
Estonia,EST,2018,0
Estonia,EST,2019,0
Estonia,EST,2020,0
Estonia,EST,2021,0
Estonia,EST,2022,0
Estonia,EST,2023,0
Finland,FIN,2018,0
Finland,FIN,2019,0
Finland,FIN,2020,0
Finland,FIN,2021,0
Finland,FIN,2022,0
Finland,FIN,2023,0
France,FRA,1961,290
France,FRA,1962,381
France,FRA,1963,236
France,FRA,1964,240
France,FRA,1965,260
France,FRA,1966,270
France,FRA,1967,300
France,FRA,1968,303
France,FRA,1969,734
France,FRA,1970,481
France,FRA,1971,500
France,FRA,1972,500
France,FRA,1973,500
France,FRA,1974,500
France,FRA,1975,500
France,FRA,1976,1650
France,FRA,1977,1493
France,FRA,1978,960
France,FRA,1979,1334
France,FRA,1980,1800
France,FRA,1981,1500
France,FRA,1982,2100
France,FRA,1983,1800
France,FRA,1984,2000
France,FRA,1985,2000
France,FRA,1986,2200
France,FRA,1987,2500
France,FRA,1988,2700
France,FRA,1989,3600
France,FRA,1990,3605
France,FRA,1991,3007
France,FRA,1992,3301.6
France,FRA,1993,2752.3
France,FRA,1994,3114
France,FRA,1995,3482.7
France,FRA,1996,4058
France,FRA,1997,3882.5
France,FRA,1998,3817.5
France,FRA,1999,4777.5
France,FRA,2000,5019.3
France,FRA,2001,3848.9
France,FRA,2002,5346.9
France,FRA,2003,3655.7
France,FRA,2004,6367.9
France,FRA,2005,4459
France,FRA,2006,6083
France,FRA,2007,5371
France,FRA,2008,5155
France,FRA,2009,8824.9
France,FRA,2010,10073
France,FRA,2011,7336.6
France,FRA,2012,10026.3
France,FRA,2013,8104
France,FRA,2014,11053
France,FRA,2015,8899.5
France,FRA,2016,12638
France,FRA,2017,11111
France,FRA,2018,15660
France,FRA,2019,11660
France,FRA,2020,12660
France,FRA,2021,12340
France,FRA,2022,9960
France,FRA,2023,17160
Georgia,GEO,1992,12000
Georgia,GEO,1993,10000
Georgia,GEO,1994,13000
Georgia,GEO,1995,10000
Georgia,GEO,1996,15000
Georgia,GEO,1997,14000
Georgia,GEO,1998,15841
Georgia,GEO,1999,16836
Georgia,GEO,2000,14220
Georgia,GEO,2001,11375
Georgia,GEO,2002,13901
Georgia,GEO,2003,14820
Georgia,GEO,2004,8327
Georgia,GEO,2005,16393
Georgia,GEO,2006,23500
Georgia,GEO,2007,21200
Georgia,GEO,2008,18700
Georgia,GEO,2009,21800
Georgia,GEO,2010,28800
Georgia,GEO,2011,31100
Georgia,GEO,2012,24700
Georgia,GEO,2013,39700
Georgia,GEO,2014,33800
Georgia,GEO,2015,35300
Georgia,GEO,2016,29500
Georgia,GEO,2017,21400
Georgia,GEO,2018,17000
Georgia,GEO,2019,24000
Georgia,GEO,2020,32700
Georgia,GEO,2021,46000
Georgia,GEO,2022,33400
Georgia,GEO,2023,36900
Germany,DEU,1961,85
Germany,DEU,1962,77
Germany,DEU,1963,82
Germany,DEU,1964,0
Germany,DEU,1965,0
Germany,DEU,1966,0
Germany,DEU,1967,0
Germany,DEU,1968,0
Germany,DEU,1969,0
Germany,DEU,1970,0
Germany,DEU,1971,0
Germany,DEU,1972,0
Germany,DEU,1973,0
Germany,DEU,1974,0
Germany,DEU,1975,0
Germany,DEU,1976,0
Germany,DEU,1977,0
Germany,DEU,1978,0
Germany,DEU,1979,0
Germany,DEU,1980,0
Germany,DEU,1981,0
Germany,DEU,1982,0
Germany,DEU,1983,0
Germany,DEU,1984,0
Germany,DEU,1985,0
Germany,DEU,1986,0
Germany,DEU,1987,0
Germany,DEU,1988,0
Germany,DEU,1989,0
Germany,DEU,1990,0
Germany,DEU,1991,0
Germany,DEU,1992,0
Greece,GRC,1961,1516
Greece,GRC,1962,738
Greece,GRC,1963,867
Greece,GRC,1964,830
Greece,GRC,1965,872
Greece,GRC,1966,1040
Greece,GRC,1967,1163
Greece,GRC,1968,1251
Greece,GRC,1969,1244
Greece,GRC,1970,1721
Greece,GRC,1971,1646
Greece,GRC,1972,1952
Greece,GRC,1973,2824
Greece,GRC,1974,3168
Greece,GRC,1975,3922
Greece,GRC,1976,4616
Greece,GRC,1977,5781
Greece,GRC,1978,8042
Greece,GRC,1979,7040
Greece,GRC,1980,8800
Greece,GRC,1981,11721
Greece,GRC,1982,9187
Greece,GRC,1983,9153
Greece,GRC,1984,9506
Greece,GRC,1985,7047
Greece,GRC,1986,11039
Greece,GRC,1987,7730
Greece,GRC,1988,15945
Greece,GRC,1989,7366
Greece,GRC,1990,6697
Greece,GRC,1991,6500
Greece,GRC,1992,5482
Greece,GRC,1993,4662
Greece,GRC,1994,4550
Greece,GRC,1995,4352
Greece,GRC,1996,3402
Greece,GRC,1997,3212.63
Greece,GRC,1998,2656.05
Greece,GRC,1999,2713
Greece,GRC,2000,2458
Greece,GRC,2001,2755
Greece,GRC,2002,2437.14
Greece,GRC,2003,2143.99
Greece,GRC,2004,2532
Greece,GRC,2005,1799
Greece,GRC,2006,1683
Greece,GRC,2007,1493.72
Greece,GRC,2008,1359.12
Greece,GRC,2009,1296.33
Greece,GRC,2010,1342.3
Greece,GRC,2011,1207.16
Greece,GRC,2012,1234.25
Greece,GRC,2013,1409.82
Greece,GRC,2014,479.04
Greece,GRC,2015,486
Greece,GRC,2016,465.25
Greece,GRC,2017,480
Greece,GRC,2018,810
Greece,GRC,2019,1100
Greece,GRC,2020,1190
Greece,GRC,2021,1760
Greece,GRC,2022,1780
Greece,GRC,2023,6950
Hungary,HUN,1961,500
Hungary,HUN,1962,521
Hungary,HUN,1963,567
Hungary,HUN,1964,874
Hungary,HUN,1965,920
Hungary,HUN,1966,3151
Hungary,HUN,1967,183
Hungary,HUN,1968,211
Hungary,HUN,1969,327
Hungary,HUN,1970,286
Hungary,HUN,1971,295
Hungary,HUN,1972,244
Hungary,HUN,1973,178
Hungary,HUN,1974,160
Hungary,HUN,1975,205
Hungary,HUN,1976,185
Hungary,HUN,1977,229
Hungary,HUN,1978,192
Hungary,HUN,1979,235
Hungary,HUN,1980,324
Hungary,HUN,1981,196
Hungary,HUN,1982,155
Hungary,HUN,1983,151
Hungary,HUN,1984,192
Hungary,HUN,1985,201
Hungary,HUN,1986,175
Hungary,HUN,1987,242
Hungary,HUN,1988,238
Hungary,HUN,1989,235
Hungary,HUN,1990,173
Hungary,HUN,1991,162
Hungary,HUN,1992,390
Hungary,HUN,1993,135
Hungary,HUN,1994,130
Hungary,HUN,1995,200
Hungary,HUN,1996,180
Hungary,HUN,1997,168.41
Hungary,HUN,1998,173
Hungary,HUN,1999,197
Hungary,HUN,2000,225
Hungary,HUN,2001,168
Hungary,HUN,2002,124
Hungary,HUN,2003,127
Hungary,HUN,2004,94
Hungary,HUN,2005,89
Hungary,HUN,2006,68
Hungary,HUN,2007,79
Hungary,HUN,2008,98
Hungary,HUN,2009,69
Hungary,HUN,2010,144
Hungary,HUN,2011,135
Hungary,HUN,2012,110
Hungary,HUN,2013,60
Hungary,HUN,2014,53
Hungary,HUN,2015,64
Hungary,HUN,2016,79
Hungary,HUN,2017,128
Hungary,HUN,2018,140
Hungary,HUN,2019,170
Hungary,HUN,2020,190
Hungary,HUN,2021,210
Hungary,HUN,2022,270
Hungary,HUN,2023,390
Iran,IRN,1961,20000
Iran,IRN,1962,20000
Iran,IRN,1963,12000
Iran,IRN,1964,13000
Iran,IRN,1965,13000
Iran,IRN,1966,13000
Iran,IRN,1967,13000
Iran,IRN,1968,13000
Iran,IRN,1969,12000
Iran,IRN,1970,12000
Iran,IRN,1971,14500
Iran,IRN,1972,15000
Iran,IRN,1973,12000
Iran,IRN,1974,12000
Iran,IRN,1975,13000
Iran,IRN,1976,14000
Iran,IRN,1977,15000
Iran,IRN,1978,15000
Iran,IRN,1979,7000
Iran,IRN,1980,6000
Iran,IRN,1981,5000
Iran,IRN,1982,3579
Iran,IRN,1983,1685
Iran,IRN,1984,2182
Iran,IRN,1985,2273
Iran,IRN,1986,3900
Iran,IRN,1987,4571
Iran,IRN,1988,4116
Iran,IRN,1989,4020
Iran,IRN,1990,4704
Iran,IRN,1991,5372
Iran,IRN,1992,6006
Iran,IRN,1993,10874
Iran,IRN,1994,12758.2
Iran,IRN,1995,11834.1
Iran,IRN,1996,11363
Iran,IRN,1997,11890
Iran,IRN,1998,12842
Iran,IRN,1999,11386
Iran,IRN,2000,10290
Iran,IRN,2001,11749
Iran,IRN,2002,13061.4
Iran,IRN,2003,14447
Iran,IRN,2004,15091.2
Iran,IRN,2005,17889
Iran,IRN,2006,14543.6
Iran,IRN,2007,18986.6
Iran,IRN,2008,18607
Iran,IRN,2009,17492
Iran,IRN,2010,18442.8
Iran,IRN,2011,18758
Iran,IRN,2012,19531.6
Iran,IRN,2013,20655
Iran,IRN,2014,10097.8
Iran,IRN,2015,13516.14
Iran,IRN,2016,14756.31
Iran,IRN,2017,12790.08
Iran,IRN,2018,13938.48
Iran,IRN,2019,13828.29
Iran,IRN,2020,13518.95
Iran,IRN,2021,13921.93
Iran,IRN,2022,13761.85
Iran,IRN,2023,13601.77
Ireland,IRL,2018,0
Ireland,IRL,2019,0
Ireland,IRL,2020,0
Ireland,IRL,2021,0
Ireland,IRL,2022,0
Ireland,IRL,2023,0
Italy,ITA,1961,55379
Italy,ITA,1962,53004
Italy,ITA,1963,58122
Italy,ITA,1964,46877
Italy,ITA,1965,60782
Italy,ITA,1966,72951
Italy,ITA,1967,64805
Italy,ITA,1968,82960
Italy,ITA,1969,53672
Italy,ITA,1970,78877
Italy,ITA,1971,84847
Italy,ITA,1972,80904
Italy,ITA,1973,87700
Italy,ITA,1974,105100
Italy,ITA,1975,99108
Italy,ITA,1976,95282
Italy,ITA,1977,84439
Italy,ITA,1978,100600
Italy,ITA,1979,93750
Italy,ITA,1980,100600
Italy,ITA,1981,130114
Italy,ITA,1982,110918
Italy,ITA,1983,137119
Italy,ITA,1984,80082
Italy,ITA,1985,117681
Italy,ITA,1986,108821
Italy,ITA,1987,112782
Italy,ITA,1988,130230
Italy,ITA,1989,127248
Italy,ITA,1990,109344
Italy,ITA,1991,128149
Italy,ITA,1992,115316
Italy,ITA,1993,90778
Italy,ITA,1994,127571
Italy,ITA,1995,118400
Italy,ITA,1996,120215
Italy,ITA,1997,98742
Italy,ITA,1998,128137
Italy,ITA,1999,118388
Italy,ITA,2000,98540
Italy,ITA,2001,117000
Italy,ITA,2002,119458
Italy,ITA,2003,83292
Italy,ITA,2004,143356
Italy,ITA,2005,87879
Italy,ITA,2006,142109
Italy,ITA,2007,128231
Italy,ITA,2008,111841
Italy,ITA,2009,106600
Italy,ITA,2010,90270
Italy,ITA,2011,128940
Italy,ITA,2012,85232
Italy,ITA,2013,112649.9
Italy,ITA,2014,75455.6
Italy,ITA,2015,101643
Italy,ITA,2016,120571.8
Italy,ITA,2017,131281
Italy,ITA,2018,132700
Italy,ITA,2019,98530
Italy,ITA,2020,140560
Italy,ITA,2021,84670
Italy,ITA,2022,98670
Italy,ITA,2023,102740
Kyrgyzstan,KGZ,1992,2000
Kyrgyzstan,KGZ,1993,1500
Kyrgyzstan,KGZ,1994,1325.62
Kyrgyzstan,KGZ,1995,1247.64
Kyrgyzstan,KGZ,1996,1149.79
Kyrgyzstan,KGZ,1997,1000
Kyrgyzstan,KGZ,1998,800
Kyrgyzstan,KGZ,1999,845.14
Kyrgyzstan,KGZ,2000,785
Kyrgyzstan,KGZ,2001,1161
Kyrgyzstan,KGZ,2002,1161
Kyrgyzstan,KGZ,2003,1100
Kyrgyzstan,KGZ,2004,1493.39
Kyrgyzstan,KGZ,2005,1810
Kyrgyzstan,KGZ,2006,2420
Kyrgyzstan,KGZ,2007,3242
Kyrgyzstan,KGZ,2008,3000
Kyrgyzstan,KGZ,2009,3034.69
Kyrgyzstan,KGZ,2010,3352.66
Kyrgyzstan,KGZ,2011,3592.86
Kyrgyzstan,KGZ,2012,3806.13
Kyrgyzstan,KGZ,2013,4019.39
Kyrgyzstan,KGZ,2014,4197.2
Kyrgyzstan,KGZ,2015,4447.04
Kyrgyzstan,KGZ,2016,4221.21
Kyrgyzstan,KGZ,2017,4217.86
Kyrgyzstan,KGZ,2018,4255.35
Kyrgyzstan,KGZ,2019,4317.91
Kyrgyzstan,KGZ,2020,4263.71
Kyrgyzstan,KGZ,2021,4278.99
Kyrgyzstan,KGZ,2022,4286.87
Kyrgyzstan,KGZ,2023,4276.52
Latvia,LVA,2018,0
Latvia,LVA,2019,0
Latvia,LVA,2020,0
Latvia,LVA,2021,0
Latvia,LVA,2022,0
Latvia,LVA,2023,0
Lithuania,LTU,2021,60
Lithuania,LTU,2022,40
Lithuania,LTU,2023,200
Malta,MLT,2018,0
Malta,MLT,2019,0
Malta,MLT,2020,0
Malta,MLT,2021,0
Malta,MLT,2022,0
Malta,MLT,2023,0
Moldova,MDA,1992,1600
Moldova,MDA,1993,1000
Moldova,MDA,1994,999.18
Moldova,MDA,1995,932.62
Moldova,MDA,1996,800
Moldova,MDA,1997,874.13
Moldova,MDA,1998,900
Moldova,MDA,1999,850
Moldova,MDA,2000,800
Moldova,MDA,2001,850
Moldova,MDA,2002,800
Moldova,MDA,2003,716.96
Moldova,MDA,2004,661.73
Moldova,MDA,2005,600.34
Moldova,MDA,2006,553.69
Moldova,MDA,2007,465.56
Moldova,MDA,2008,437.1
Moldova,MDA,2009,300
Moldova,MDA,2010,300
Moldova,MDA,2011,300
Moldova,MDA,2012,300
Moldova,MDA,2013,400
Moldova,MDA,2014,400
Moldova,MDA,2015,303.6
Moldova,MDA,2016,367.87
Moldova,MDA,2017,357.15
Moldova,MDA,2018,342.87
Moldova,MDA,2019,355.96
Moldova,MDA,2020,352
Moldova,MDA,2021,350.28
Moldova,MDA,2022,352.75
Moldova,MDA,2023,351.67
Mongolia,MNG,1997,200
Mongolia,MNG,1998,250
Mongolia,MNG,1999,256.91
Mongolia,MNG,2000,274.09
Mongolia,MNG,2001,300
Mongolia,MNG,2002,320
Mongolia,MNG,2003,300
Mongolia,MNG,2004,311.02
Mongolia,MNG,2005,313.5
Mongolia,MNG,2006,311.59
Mongolia,MNG,2007,311.89
Mongolia,MNG,2008,310
Mongolia,MNG,2009,312.57
Mongolia,MNG,2010,313.64
Mongolia,MNG,2011,313.43
Mongolia,MNG,2012,313.76
Mongolia,MNG,2013,314.08
Mongolia,MNG,2014,317.2
Mongolia,MNG,2015,326.49
Mongolia,MNG,2016,331.78
Mongolia,MNG,2017,334.94
Mongolia,MNG,2018,336.47
Mongolia,MNG,2019,337.19
Mongolia,MNG,2020,337.45
Mongolia,MNG,2021,336.02
Mongolia,MNG,2022,337.71
Mongolia,MNG,2023,339.4
Poland,POL,2002,1572
Poland,POL,2003,2320
Poland,POL,2004,2278
Poland,POL,2005,3061
Poland,POL,2006,2637
Poland,POL,2007,3470
Poland,POL,2008,3434
Poland,POL,2009,3055
Poland,POL,2010,2649
Poland,POL,2011,3103
Poland,POL,2012,4223
Poland,POL,2013,5132
Poland,POL,2014,5531
Poland,POL,2015,5422
Poland,POL,2016,5526
Poland,POL,2017,4635
Poland,POL,2018,6640
Poland,POL,2019,5440
Poland,POL,2020,7700
Poland,POL,2021,7600
Poland,POL,2022,9500
Poland,POL,2023,10700
Portugal,PRT,1961,600
Portugal,PRT,1962,600
Portugal,PRT,1963,700
Portugal,PRT,1964,800
Portugal,PRT,1965,1000
Portugal,PRT,1966,1300
Portugal,PRT,1967,1400
Portugal,PRT,1968,1359
Portugal,PRT,1969,983
Portugal,PRT,1970,668
Portugal,PRT,1971,1127
Portugal,PRT,1972,988
Portugal,PRT,1973,1064
Portugal,PRT,1974,887
Portugal,PRT,1975,959
Portugal,PRT,1976,1057
