Entity,Code,Year,Pineapples | 00000574 || Production | 005510 || tonnes
Argentina,ARG,1973,3530
Argentina,ARG,1974,4400
Argentina,ARG,1975,3740
Argentina,ARG,1976,3750
Argentina,ARG,1977,3700
Argentina,ARG,1978,3000
Argentina,ARG,1979,3900
Argentina,ARG,1980,3400
Argentina,ARG,1981,3100
Argentina,ARG,1982,3700
Argentina,ARG,1983,3300
Argentina,ARG,1984,3500
Argentina,ARG,1985,3500
Argentina,ARG,1986,3600
Argentina,ARG,1987,3600
Argentina,ARG,1988,3600
Argentina,ARG,1989,3600
Argentina,ARG,1990,3500
Argentina,ARG,1991,3557.71
Argentina,ARG,1992,3600
Argentina,ARG,1993,3700
Argentina,ARG,1994,3800
Argentina,ARG,1995,3900
Argentina,ARG,1996,3675.47
Argentina,ARG,1997,3500
Argentina,ARG,1998,3400.05
Argentina,ARG,1999,3300.24
Argentina,ARG,2000,3150
Argentina,ARG,2001,3204.47
Argentina,ARG,2002,3200
Argentina,ARG,2003,3212.91
Argentina,ARG,2004,3183
Argentina,ARG,2005,3207.58
Argentina,ARG,2006,3200
Argentina,ARG,2007,3300
Argentina,ARG,2008,3343.54
Argentina,ARG,2009,3309.43
Argentina,ARG,2010,3317.44
Argentina,ARG,2011,3324.13
Argentina,ARG,2012,3350
Argentina,ARG,2013,3319.67
Argentina,ARG,2014,3293.44
Argentina,ARG,2015,3283.34
Argentina,ARG,2016,3271.31
Argentina,ARG,2017,3258.91
Argentina,ARG,2018,3246.75
Argentina,ARG,2019,3234.92
Argentina,ARG,2020,3238.77
Argentina,ARG,2021,3239.56
Argentina,ARG,2022,3237.99
Argentina,ARG,2023,3236.78
Australia,AUS,1961,74586
Australia,AUS,1962,74586
Australia,AUS,1963,78602
Australia,AUS,1964,84682
Australia,AUS,1965,83115
Australia,AUS,1966,93801
Australia,AUS,1967,115422
Australia,AUS,1968,129620
Australia,AUS,1969,121228
Australia,AUS,1970,120862
Australia,AUS,1971,117752
Australia,AUS,1972,128524
Australia,AUS,1973,126353
Australia,AUS,1974,114799
Australia,AUS,1975,110454
Australia,AUS,1976,102935
Australia,AUS,1977,111497
Australia,AUS,1978,98632
Australia,AUS,1979,105107
Australia,AUS,1980,123265
Australia,AUS,1981,123259
Australia,AUS,1982,125528
Australia,AUS,1983,111281
Australia,AUS,1984,115056
Australia,AUS,1985,124501
Australia,AUS,1986,129772
Australia,AUS,1987,142339
Australia,AUS,1988,146500
Australia,AUS,1989,154440
Australia,AUS,1990,141603
Australia,AUS,1991,125963
Australia,AUS,1992,133251
Australia,AUS,1993,142376
Australia,AUS,1994,157439
Australia,AUS,1995,138503
Australia,AUS,1996,127864
Australia,AUS,1997,122981
Australia,AUS,1998,123004
Australia,AUS,1999,131383
Australia,AUS,2000,139284
Australia,AUS,2001,119618
Australia,AUS,2002,119328
Australia,AUS,2003,104743
Australia,AUS,2004,110417
Australia,AUS,2005,104022
Australia,AUS,2006,153015
Australia,AUS,2007,164732
Australia,AUS,2008,162000
Australia,AUS,2009,157679
Australia,AUS,2010,121503.46
Australia,AUS,2011,83223
Australia,AUS,2012,86463.35
Australia,AUS,2013,70768
Australia,AUS,2014,89099
Australia,AUS,2015,82380
Australia,AUS,2016,71782
Australia,AUS,2017,85921.7
Australia,AUS,2018,88660
Australia,AUS,2019,86201
Australia,AUS,2020,77311.01
Australia,AUS,2021,73944.14
Australia,AUS,2022,73865.83
Australia,AUS,2023,72178
Bangladesh,BGD,1961,19305
Bangladesh,BGD,1962,21163
Bangladesh,BGD,1963,36577
Bangladesh,BGD,1964,44714
Bangladesh,BGD,1965,45162
Bangladesh,BGD,1966,56900
Bangladesh,BGD,1967,92451
Bangladesh,BGD,1968,96500
Bangladesh,BGD,1969,105700
Bangladesh,BGD,1970,93500
Bangladesh,BGD,1971,90982
Bangladesh,BGD,1972,99172
Bangladesh,BGD,1973,111440
Bangladesh,BGD,1974,124253
Bangladesh,BGD,1975,138489
Bangladesh,BGD,1976,143822
Bangladesh,BGD,1977,143706
Bangladesh,BGD,1978,139627
Bangladesh,BGD,1979,142129
Bangladesh,BGD,1980,153365
Bangladesh,BGD,1981,155822
Bangladesh,BGD,1982,156257
Bangladesh,BGD,1983,136613
Bangladesh,BGD,1984,131653
Bangladesh,BGD,1985,127790
Bangladesh,BGD,1986,132990
Bangladesh,BGD,1987,145455
Bangladesh,BGD,1988,146000
Bangladesh,BGD,1989,156755
Bangladesh,BGD,1990,162445
Bangladesh,BGD,1991,150050
Bangladesh,BGD,1992,148140
Bangladesh,BGD,1993,149145
Bangladesh,BGD,1994,149205
Bangladesh,BGD,1995,149205
Bangladesh,BGD,1996,148575
Bangladesh,BGD,1997,148485
Bangladesh,BGD,1998,148580
Bangladesh,BGD,1999,146000
Bangladesh,BGD,2000,148000
Bangladesh,BGD,2001,152000
Bangladesh,BGD,2002,153000
Bangladesh,BGD,2003,154230
Bangladesh,BGD,2004,212775
Bangladesh,BGD,2005,234865
Bangladesh,BGD,2006,253825
Bangladesh,BGD,2007,238360
Bangladesh,BGD,2008,210283
Bangladesh,BGD,2009,229068
Bangladesh,BGD,2010,234493
Bangladesh,BGD,2011,218582
Bangladesh,BGD,2012,180938
Bangladesh,BGD,2013,186667
Bangladesh,BGD,2014,198946
Bangladesh,BGD,2015,197518
Bangladesh,BGD,2016,200701
Bangladesh,BGD,2017,211833
Bangladesh,BGD,2018,208401
Bangladesh,BGD,2019,217439
Bangladesh,BGD,2020,218048
Bangladesh,BGD,2021,208141
Bangladesh,BGD,2022,206164
Bangladesh,BGD,2023,196735
Belize,BLZ,1989,1888
Belize,BLZ,1990,644
Belize,BLZ,1991,1051
Belize,BLZ,1992,1842
Belize,BLZ,1993,2325
Belize,BLZ,1994,1452
Belize,BLZ,1995,1500
Belize,BLZ,1996,1614
Belize,BLZ,1997,1515
Belize,BLZ,1998,923
Belize,BLZ,1999,1564
Belize,BLZ,2000,2202
Belize,BLZ,2001,2028
Belize,BLZ,2002,1909
Belize,BLZ,2003,1658
Belize,BLZ,2004,2159
Belize,BLZ,2005,2251
Belize,BLZ,2006,1434
Belize,BLZ,2007,2276
Belize,BLZ,2008,953
Belize,BLZ,2009,1177
Belize,BLZ,2010,2307
Belize,BLZ,2011,1472
Belize,BLZ,2012,1188
Belize,BLZ,2013,1297
Belize,BLZ,2014,1393
Belize,BLZ,2015,3778
Belize,BLZ,2016,1424
Belize,BLZ,2017,1883
Belize,BLZ,2018,2998
Belize,BLZ,2019,3585
Belize,BLZ,2020,3828
Belize,BLZ,2021,4441
Belize,BLZ,2022,4208
Belize,BLZ,2023,4258
Benin,BEN,1961,2000
Benin,BEN,1962,2000
Benin,BEN,1963,2500
Benin,BEN,1964,3000
Benin,BEN,1965,3000
Benin,BEN,1966,3000
Benin,BEN,1967,3000
Benin,BEN,1968,3000
Benin,BEN,1969,3000
Benin,BEN,1970,3000
Benin,BEN,1971,3000
Benin,BEN,1972,3000
Benin,BEN,1973,3000
Benin,BEN,1974,3000
Benin,BEN,1975,3000
Benin,BEN,1976,3000
Benin,BEN,1977,3000
Benin,BEN,1978,3000
Benin,BEN,1979,3000
Benin,BEN,1980,3000
Benin,BEN,1981,3000
Benin,BEN,1982,3000
Benin,BEN,1983,3000
Benin,BEN,1984,3000
Benin,BEN,1985,3000
Benin,BEN,1986,3000
Benin,BEN,1987,3000
Benin,BEN,1988,12000
Benin,BEN,1989,25000
Benin,BEN,1990,26951
Benin,BEN,1991,28000
Benin,BEN,1992,28174.61
Benin,BEN,1993,30000
Benin,BEN,1994,32000
Benin,BEN,1995,37600
Benin,BEN,1996,89410
Benin,BEN,1997,58657
Benin,BEN,1998,44836
Benin,BEN,1999,78440
Benin,BEN,2000,53026
Benin,BEN,2001,57147
Benin,BEN,2002,98256
Benin,BEN,2003,93505
Benin,BEN,2004,110819
Benin,BEN,2005,121182
Benin,BEN,2006,124463
Benin,BEN,2007,129287
Benin,BEN,2008,134966
Benin,BEN,2009,222222
Benin,BEN,2010,266041
Benin,BEN,2011,246702
Benin,BEN,2012,434813
Benin,BEN,2013,495527
Benin,BEN,2014,315794.94
Benin,BEN,2015,244207.3
Benin,BEN,2016,303887
Benin,BEN,2017,344810.56
Benin,BEN,2018,374601
Benin,BEN,2019,350345
Benin,BEN,2020,362964
Benin,BEN,2021,406220
Benin,BEN,2022,472514
Benin,BEN,2023,477427.8
Bhutan,BTN,2011,949
Bhutan,BTN,2012,352.04
Bhutan,BTN,2013,57.5
Bhutan,BTN,2014,53.66
Bhutan,BTN,2015,63.81
Bhutan,BTN,2016,66
Bhutan,BTN,2017,72.5
Bhutan,BTN,2018,107.78
Bhutan,BTN,2019,148.72
Bhutan,BTN,2020,161.71
Bhutan,BTN,2021,128
Bhutan,BTN,2022,97.76
Bhutan,BTN,2023,139.35
Bolivia,BOL,1961,2800
Bolivia,BOL,1962,3000
Bolivia,BOL,1963,3150
Bolivia,BOL,1964,2500
Bolivia,BOL,1965,2500
Bolivia,BOL,1966,3270
Bolivia,BOL,1967,4380
Bolivia,BOL,1968,4760
Bolivia,BOL,1969,5040
Bolivia,BOL,1970,5400
Bolivia,BOL,1971,6500
Bolivia,BOL,1972,6500
Bolivia,BOL,1973,7570
Bolivia,BOL,1974,7860
Bolivia,BOL,1975,8600
Bolivia,BOL,1976,8880
Bolivia,BOL,1977,9720
Bolivia,BOL,1978,7095
Bolivia,BOL,1979,6840
Bolivia,BOL,1980,7860
Bolivia,BOL,1981,8680
Bolivia,BOL,1982,10470
Bolivia,BOL,1983,7880
Bolivia,BOL,1984,8327
Bolivia,BOL,1985,6505
Bolivia,BOL,1986,7271
Bolivia,BOL,1987,7540
Bolivia,BOL,1988,7733
Bolivia,BOL,1989,8240
Bolivia,BOL,1990,10000
Bolivia,BOL,1991,11440
Bolivia,BOL,1992,13440
Bolivia,BOL,1993,14445
Bolivia,BOL,1994,15790
Bolivia,BOL,1995,18480
Bolivia,BOL,1996,22050
Bolivia,BOL,1997,45300
Bolivia,BOL,1998,46385
Bolivia,BOL,1999,52535
Bolivia,BOL,2000,59331
Bolivia,BOL,2001,59500
Bolivia,BOL,2002,58354
Bolivia,BOL,2003,58098
Bolivia,BOL,2004,12600
Bolivia,BOL,2005,13412
Bolivia,BOL,2006,13949
Bolivia,BOL,2007,14525
Bolivia,BOL,2008,14589
Bolivia,BOL,2009,48074
Bolivia,BOL,2010,47345.54
Bolivia,BOL,2011,47158.19
Bolivia,BOL,2012,48073.9
Bolivia,BOL,2013,48860.4
Bolivia,BOL,2014,83707
Bolivia,BOL,2015,83009
Bolivia,BOL,2016,85256
Bolivia,BOL,2017,86022
Bolivia,BOL,2018,86203.52
Bolivia,BOL,2019,87658
Bolivia,BOL,2020,85964
Bolivia,BOL,2021,86720.37
Bolivia,BOL,2022,86513.6
Bolivia,BOL,2023,87084.23
Brazil,BRA,1961,274089
Brazil,BRA,1962,275954
Brazil,BRA,1963,274086
Brazil,BRA,1964,290723
Brazil,BRA,1965,292235
Brazil,BRA,1966,295185
Brazil,BRA,1967,337487
Brazil,BRA,1968,337847
Brazil,BRA,1969,389499
Brazil,BRA,1970,423903
Brazil,BRA,1971,498849
Brazil,BRA,1972,536111
Brazil,BRA,1973,488457
Brazil,BRA,1974,493784
Brazil,BRA,1975,527076
Brazil,BRA,1976,518606
Brazil,BRA,1977,548403
Brazil,BRA,1978,574530
Brazil,BRA,1979,580301
Brazil,BRA,1980,565829
Brazil,BRA,1981,619400
Brazil,BRA,1982,668312
Brazil,BRA,1983,831443
Brazil,BRA,1984,960347
Brazil,BRA,1985,1146600
Brazil,BRA,1986,1240820
Brazil,BRA,1987,1424260
Brazil,BRA,1988,1512320
Brazil,BRA,1989,1241840
Brazil,BRA,1990,1103897
Brazil,BRA,1991,1190307
Brazil,BRA,1992,1238991
Brazil,BRA,1993,1251873
Brazil,BRA,1994,1484327
Brazil,BRA,1995,1426361
Brazil,BRA,1996,1145981
Brazil,BRA,1997,1609895
Brazil,BRA,1998,1669829
Brazil,BRA,1999,1870736
Brazil,BRA,2000,2003688
Brazil,BRA,2001,2145027
Brazil,BRA,2002,2149851
Brazil,BRA,2003,2160020
Brazil,BRA,2004,2215949
Brazil,BRA,2005,2292470
Brazil,BRA,2006,2560632
Brazil,BRA,2007,2676323
Brazil,BRA,2008,2568547
Brazil,BRA,2009,2206492
Brazil,BRA,2010,2205586
Brazil,BRA,2011,2365455
Brazil,BRA,2012,2546601
Brazil,BRA,2013,2483831
Brazil,BRA,2014,2646243
Brazil,BRA,2015,2653646
Brazil,BRA,2016,2559117
Brazil,BRA,2017,2309634
Brazil,BRA,2018,2652231
Brazil,BRA,2019,2418321
Brazil,BRA,2020,2456154
Brazil,BRA,2021,2323485
Brazil,BRA,2022,2356788
Brazil,BRA,2023,2387393
Brunei,BRN,1961,900
Brunei,BRN,1962,1100
Brunei,BRN,1963,1100
Brunei,BRN,1964,1200
Brunei,BRN,1965,1200
Brunei,BRN,1966,1260
Brunei,BRN,1967,1320
Brunei,BRN,1968,1380
Brunei,BRN,1969,1440
Brunei,BRN,1970,1500
Brunei,BRN,1971,1567
Brunei,BRN,1972,1500
Brunei,BRN,1973,1300
Brunei,BRN,1974,1100
Brunei,BRN,1975,1000
Brunei,BRN,1976,700
Brunei,BRN,1977,800
Brunei,BRN,1978,700
Brunei,BRN,1979,700
Brunei,BRN,1980,610
Brunei,BRN,1981,850
Brunei,BRN,1982,695
Brunei,BRN,1983,780
Brunei,BRN,1984,800
Brunei,BRN,1985,800
Brunei,BRN,1986,800
Brunei,BRN,1987,780
Brunei,BRN,1988,800
Brunei,BRN,1989,730
Brunei,BRN,1990,720
Brunei,BRN,1991,690
Brunei,BRN,1992,681.69
Brunei,BRN,1993,680
Brunei,BRN,1994,678.88
Brunei,BRN,1995,650
Brunei,BRN,1996,693.97
Brunei,BRN,1997,700
Brunei,BRN,1998,728.26
Brunei,BRN,1999,750
Brunei,BRN,2000,800
Brunei,BRN,2001,900
Brunei,BRN,2002,913.4
Brunei,BRN,2003,945.26
Brunei,BRN,2004,990
Brunei,BRN,2005,995.19
Brunei,BRN,2006,1013.8
Brunei,BRN,2007,1028.81
Brunei,BRN,2008,1045.39
Brunei,BRN,2009,1061.75
Brunei,BRN,2010,1078.01
Brunei,BRN,2011,1094.26
Brunei,BRN,2012,1120
Brunei,BRN,2013,1123.77
Brunei,BRN,2014,1129.89
Brunei,BRN,2015,1163.81
Brunei,BRN,2016,1188.51
Brunei,BRN,2017,1211.34
Brunei,BRN,2018,1232.97
Brunei,BRN,2019,1253.29
Brunei,BRN,2020,1263.99
Brunei,BRN,2021,1270.13
Brunei,BRN,2022,1262.47
Brunei,BRN,2023,1265.53
Cambodia,KHM,1961,20000
Cambodia,KHM,1962,22000
Cambodia,KHM,1963,23000
Cambodia,KHM,1964,24370
Cambodia,KHM,1965,13720
Cambodia,KHM,1966,15300
Cambodia,KHM,1967,20100
Cambodia,KHM,1968,22100
Cambodia,KHM,1969,22780
Cambodia,KHM,1970,32800
Cambodia,KHM,1971,12260
Cambodia,KHM,1972,12200
Cambodia,KHM,1973,11000
Cambodia,KHM,1974,10000
Cambodia,KHM,1975,10000
Cambodia,KHM,1976,9000
Cambodia,KHM,1977,8500
Cambodia,KHM,1978,7200
Cambodia,KHM,1979,5000
Cambodia,KHM,1980,5600
Cambodia,KHM,1981,5000
Cambodia,KHM,1982,6000
Cambodia,KHM,1983,7000
Cambodia,KHM,1984,7500
Cambodia,KHM,1985,8000
Cambodia,KHM,1986,9000
Cambodia,KHM,1987,9500
Cambodia,KHM,1988,10000
Cambodia,KHM,1989,11000
Cambodia,KHM,1990,12000
Cambodia,KHM,1991,12213.04
Cambodia,KHM,1992,12500
Cambodia,KHM,1993,13000
Cambodia,KHM,1994,13700
Cambodia,KHM,1995,14500
Cambodia,KHM,1996,15000
Cambodia,KHM,1997,15500
Cambodia,KHM,1998,16000
Cambodia,KHM,1999,16000
Cambodia,KHM,2000,16000
Cambodia,KHM,2001,16000
Cambodia,KHM,2002,16740.78
Cambodia,KHM,2003,16631.55
Cambodia,KHM,2004,18163.59
Cambodia,KHM,2005,19282.87
Cambodia,KHM,2006,21000
Cambodia,KHM,2007,21000
Cambodia,KHM,2008,20500
Cambodia,KHM,2009,22000
Cambodia,KHM,2010,22535.85
Cambodia,KHM,2011,22543.56
Cambodia,KHM,2012,22705.78
Cambodia,KHM,2013,23072.39
Cambodia,KHM,2014,23570.57
Cambodia,KHM,2015,24373.41
Cambodia,KHM,2016,23672.12
Cambodia,KHM,2017,23816.78
Cambodia,KHM,2018,24106
Cambodia,KHM,2019,24478.91
Cambodia,KHM,2020,24133.9
Cambodia,KHM,2021,24239.6
Cambodia,KHM,2022,24284.13
Cambodia,KHM,2023,24219.21
Cameroon,CMR,1961,2000
Cameroon,CMR,1962,2000
Cameroon,CMR,1963,2804
Cameroon,CMR,1964,2812
Cameroon,CMR,1965,2839
Cameroon,CMR,1966,3215
Cameroon,CMR,1967,3902
Cameroon,CMR,1968,4319
Cameroon,CMR,1969,5142
Cameroon,CMR,1970,5656
Cameroon,CMR,1971,5100
Cameroon,CMR,1972,6300
Cameroon,CMR,1973,6700
Cameroon,CMR,1974,18100
Cameroon,CMR,1975,9430
Cameroon,CMR,1976,10145
Cameroon,CMR,1977,10346
Cameroon,CMR,1978,49162
Cameroon,CMR,1979,31879
Cameroon,CMR,1980,34000
Cameroon,CMR,1981,33000
Cameroon,CMR,1982,31000
Cameroon,CMR,1983,31000
Cameroon,CMR,1984,32000
Cameroon,CMR,1985,32000
Cameroon,CMR,1986,33000
Cameroon,CMR,1987,34000
Cameroon,CMR,1988,34000
Cameroon,CMR,1989,34000
Cameroon,CMR,1990,35000
Cameroon,CMR,1991,37000
Cameroon,CMR,1992,38000
Cameroon,CMR,1993,40000
Cameroon,CMR,1994,42000
Cameroon,CMR,1995,44000
Cameroon,CMR,1996,48000
Cameroon,CMR,1997,50000
Cameroon,CMR,1998,52000
Cameroon,CMR,1999,41781
Cameroon,CMR,2000,42857
Cameroon,CMR,2001,43539
Cameroon,CMR,2002,45555
Cameroon,CMR,2003,46968
Cameroon,CMR,2004,48424
Cameroon,CMR,2005,100319
Cameroon,CMR,2006,106349
Cameroon,CMR,2007,116710
Cameroon,CMR,2008,127070
Cameroon,CMR,2009,147767
Cameroon,CMR,2010,159875
Cameroon,CMR,2011,165471
Cameroon,CMR,2012,167853
Cameroon,CMR,2013,171200
Cameroon,CMR,2014,282334
Cameroon,CMR,2015,296047
Cameroon,CMR,2016,227566
Cameroon,CMR,2017,244963
Cameroon,CMR,2018,251830.6
Cameroon,CMR,2019,277341
Cameroon,CMR,2020,281837
Cameroon,CMR,2021,290399.88
Cameroon,CMR,2022,313948.53
Cameroon,CMR,2023,310771.4
Central African Republic,CAF,1961,200
Central African Republic,CAF,1962,200
Central African Republic,CAF,1963,200
Central African Republic,CAF,1964,350
Central African Republic,CAF,1965,440
Central African Republic,CAF,1966,440
Central African Republic,CAF,1967,440
Central African Republic,CAF,1968,520
Central African Republic,CAF,1969,520
Central African Republic,CAF,1970,520
Central African Republic,CAF,1971,590
Central African Republic,CAF,1972,590
Central African Republic,CAF,1973,590
Central African Republic,CAF,1974,900
Central African Republic,CAF,1975,1200
Central African Republic,CAF,1976,1500
Central African Republic,CAF,1977,2400
Central African Republic,CAF,1978,4200
Central African Republic,CAF,1979,6400
Central African Republic,CAF,1980,6600
Central African Republic,CAF,1981,6900
Central African Republic,CAF,1982,7400
Central African Republic,CAF,1983,7600
Central African Republic,CAF,1984,8100
Central African Republic,CAF,1985,8400
Central African Republic,CAF,1986,8900
Central African Republic,CAF,1987,9400
Central African Republic,CAF,1988,9800
Central African Republic,CAF,1989,10200
Central African Republic,CAF,1990,10700
Central African Republic,CAF,1991,11000
Central African Republic,CAF,1992,11400
Central African Republic,CAF,1993,11800
Central African Republic,CAF,1994,12200
Central African Republic,CAF,1995,12500
Central African Republic,CAF,1996,12800
Central African Republic,CAF,1997,13200
Central African Republic,CAF,1998,13500
Central African Republic,CAF,1999,13800
Central African Republic,CAF,2000,14000
Central African Republic,CAF,2001,14100
Central African Republic,CAF,2002,14000
Central African Republic,CAF,2003,13800
Central African Republic,CAF,2004,13826.01
Central African Republic,CAF,2005,14000
Central African Republic,CAF,2006,14191.65
Central African Republic,CAF,2007,14200
Central African Republic,CAF,2008,14000
Central African Republic,CAF,2009,14200
Central African Republic,CAF,2010,14500
Central African Republic,CAF,2011,14989.26
Central African Republic,CAF,2012,15600
Central African Republic,CAF,2013,16214.3
Central African Republic,CAF,2014,16822.42
Central African Republic,CAF,2015,16266.81
Central African Republic,CAF,2016,16041
Central African Republic,CAF,2017,15834.83
Central African Republic,CAF,2018,15635.31
Central African Republic,CAF,2019,15456.22
Central African Republic,CAF,2020,15996.88
Central African Republic,CAF,2021,15957.73
Central African Republic,CAF,2022,15993.47
Central African Republic,CAF,2023,16040.31
China,CHN,1961,40000
China,CHN,1962,45000
China,CHN,1963,48000
China,CHN,1964,50000
China,CHN,1965,50000
China,CHN,1966,50000
China,CHN,1967,52000
China,CHN,1968,53000
China,CHN,1969,55000
China,CHN,1970,57000
China,CHN,1971,59000
China,CHN,1972,60000
China,CHN,1973,62000
China,CHN,1974,64000
China,CHN,1975,66000
China,CHN,1976,78000
China,CHN,1977,75000
China,CHN,1978,80000
China,CHN,1979,77500
China,CHN,1980,75200
China,CHN,1981,91000
China,CHN,1982,134000
China,CHN,1983,125000
China,CHN,1984,132000
China,CHN,1985,183157
China,CHN,1986,350000
China,CHN,1987,412000
China,CHN,1988,485151
China,CHN,1989,510954
China,CHN,1990,462549
China,CHN,1991,429222
China,CHN,1992,441682
China,CHN,1993,454748
China,CHN,1994,485019
China,CHN,1995,539408
China,CHN,1996,580000
China,CHN,1997,527288
China,CHN,1998,644925
China,CHN,1999,882600
China,CHN,2000,856500
China,CHN,2001,869000
China,CHN,2002,827300
China,CHN,2003,821900
China,CHN,2004,808300
China,CHN,2005,848900
China,CHN,2006,890700
China,CHN,2007,891700
China,CHN,2008,907200
China,CHN,2009,999400
China,CHN,2010,1018400
China,CHN,2011,1112900
China,CHN,2012,1191600
China,CHN,2013,1271700
China,CHN,2014,1297400
China,CHN,2015,1338500
China,CHN,2016,1399500
China,CHN,2017,1494800
China,CHN,2018,2057084
China,CHN,2019,2158691
China,CHN,2020,1847000
China,CHN,2021,1885900
China,CHN,2022,2003500
China,CHN,2023,2093595.5
Colombia,COL,1961,70000
Colombia,COL,1962,73000
Colombia,COL,1963,75000
Colombia,COL,1964,72000
Colombia,COL,1965,74000
Colombia,COL,1966,76000
Colombia,COL,1967,78000
Colombia,COL,1968,80000
Colombia,COL,1969,83000
Colombia,COL,1970,85000
Colombia,COL,1971,87000
Colombia,COL,1972,89000
Colombia,COL,1973,100000
Colombia,COL,1974,113200
Colombia,COL,1975,133780
Colombia,COL,1976,104540
Colombia,COL,1977,103440
Colombia,COL,1978,85440
